mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MCAR,MAR_ignorability,mean_Y1,-0.00021999610414300875,0.024046010966073932,0.02416613886768911,0.022184416445912167,0.8969072164948454,97,0.024446677776798768,0.03,0.87,0.0024166138867689107,100
MCAR,MAR_ignorability,mean_Y2,7.520441342079298e-07,0.024955632447251536,0.025081354301808984,0.026086781154235288,0.9587628865979382,97,0.02535472323930111,0.03,0.93,0.0025081354301808986,100
MCAR,MAR_ignorability,mean_Y3,0.0008421546796911161,0.023959460824795237,0.024065284492131907,0.025678395970789848,0.9690721649484536,97,0.02427066298315367,0.03,0.94,0.0024065284492131907,100
MCAR,MAR_ignorability,p_class2,0.002531411579526312,0.04550231062424924,0.04566071878497215,0.04486351730115146,0.9690721649484536,97,0.04205293275022666,0.03,0.94,0.004566071878497216,100
MCAR,candidate_saturated,M1_class1,0.0028550302400763626,0.03677154099331141,0.03684522678337336,0.04610876525609112,0.9428571428571428,70,0.033409476478698186,0.3,0.66,0.003684522678337336,100
MCAR,candidate_saturated,M1_class2,-0.005496951458679341,0.04778089219255223,0.047702753699152854,0.05792630670808507,1.0,70,0.0405097247108008,0.3,0.7,0.004770275369915285,100
MCAR,candidate_saturated,M2_class1,0.0032019107060591696,0.07530007211916571,0.07561097021698317,0.09272318434774683,0.9571428571428572,70,0.06640207579366847,0.3,0.67,0.007561097021698317,100
MCAR,candidate_saturated,M2_class2,-0.01570629339597031,0.08367843957330338,0.0826052655473253,0.09231015275800772,0.9857142857142858,70,0.0643263622108988,0.3,0.69,0.00826052655473253,100
MCAR,candidate_saturated,M3_class1,0.014088005842734978,0.0705041937133048,0.06943036204918626,0.07885694214914266,0.9571428571428572,70,0.0701659024844782,0.3,0.67,0.006943036204918626,100
MCAR,candidate_saturated,M3_class2,-0.020388096146350572,0.0817037835861881,0.0795176988609913,0.07004538075391628,0.9428571428571428,70,0.07160209534805491,0.3,0.66,0.00795176988609913,100
MCAR,candidate_saturated,P000,-0.008027566825733332,0.03793776877975295,0.03726552921292786,0.05098437569033435,0.9857142857142858,70,0.03595597659806713,0.3,0.69,0.003726552921292786,100
MCAR,candidate_saturated,P001,0.006182190122325832,0.027382213454798132,0.026809581789592942,0.029790297952069198,0.9571428571428572,70,0.026589287494177164,0.3,0.67,0.002680958178959294,100
MCAR,candidate_saturated,P010,0.0016565403281825685,0.03076906836271852,0.03087922779381266,0.03513380612616213,0.9285714285714286,70,0.02694741077382835,0.3,0.65,0.003087922779381266,100
MCAR,candidate_saturated,P011,0.0004088364144314832,0.01730880155491044,0.017391146710105953,0.0246668501355016,0.9857142857142858,70,0.01658737557336755,0.3,0.69,0.0017391146710105953,100
MCAR,candidate_saturated,P100,0.0024467876978227373,0.0160659021111446,0.01595848277030005,0.01802937525931341,0.9857142857142858,70,0.013078964884386535,0.3,0.69,0.0015958482770300048,100
MCAR,candidate_saturated,P101,0.0037061463485033685,0.026162267432346027,0.026028902281596846,0.029750325996314605,0.9857142857142858,70,0.022495762723664593,0.3,0.69,0.002602890228159685,100
MCAR,candidate_saturated,P110,0.005048639861085547,0.022285508245694176,0.021815459103139884,0.021055281727787714,0.9571428571428572,70,0.01969954458131756,0.3,0.67,0.0021815459103139883,100
MCAR,candidate_saturated,P111,-0.01142157394661827,0.03540597351528392,0.033681973855085506,0.03779389287255427,0.9857142857142858,70,0.027883144713451845,0.3,0.69,0.0033681973855085507,100
MCAR,candidate_saturated,mean_Y1,-0.000220000039206657,0.02404599898106364,0.024166126785611405,0.022192427637840295,0.9,70,0.024670553588282015,0.3,0.63,0.0024166126785611407,100
MCAR,candidate_saturated,mean_Y2,-0.004307557342918692,0.05516910731822697,0.05527776830439755,0.0740029625160249,1.0,70,0.04636472544803336,0.3,0.7,0.005527776830439755,100
MCAR,candidate_saturated,mean_Y3,-0.0011244010613576394,0.0546288402135361,0.054892419168322173,0.059585182358079046,1.0,70,0.051303106613919514,0.3,0.7,0.0054892419168322175,100
MCAR,candidate_saturated,p_class2,0.0023129368458587158,0.04880662844365387,0.0489973953459861,0.05209350881797798,0.9857142857142858,70,0.041502011766750634,0.3,0.69,0.00489973953459861,100
MCAR,oracle,M1_class1,-0.001219257054586892,0.030295039592725625,0.030422991640587982,0.031496830488421626,0.94,100,0.030422991640587982,0.0,0.94,0.0030422991640587983,100
MCAR,oracle,M1_class2,0.004286642093650549,0.039458826709025785,0.03942290398230258,0.03957095271414499,0.94,100,0.03942290398230258,0.0,0.94,0.003942290398230258,100
MCAR,oracle,M2_class1,-0.0003518797892686007,0.03276851718799769,0.032931700047126984,0.032465321459556704,0.95,100,0.032931700047126984,0.0,0.95,0.0032931700047126983,100
MCAR,oracle,M2_class2,0.0044058831176026466,0.03635770186508622,0.03627157217915978,0.037369061245296445,0.91,100,0.03627157217915978,0.0,0.91,0.003627157217915978,100
