mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,selection_misspecified,mean_Y3,0.048608374553607836,0.04971910091936732,0.010503242379918488,0.01117789493951838,0.0,100,0.010503242379918488,0.0,0.0,0.001050324237991849,100
MAR,selection_misspecified,p_class2,0.01709280694449356,0.02101931185706534,0.012294674124231634,0.01339206922398412,0.77,100,0.012294674124231634,0.0,0.77,0.0012294674124231635,100
MCAR,MAR_ignorability,M1_class1,-0.0022081619074017828,0.010742678294254328,0.0105662488171155,0.010966464079731834,0.97,100,0.0105662488171155,0.0,0.97,0.00105662488171155,100
MCAR,MAR_ignorability,M1_class2,0.00011465434986027479,0.013079431343543309,0.013144818030734872,0.01397444572829146,0.95,100,0.013144818030734872,0.0,0.95,0.0013144818030734872,100
MCAR,MAR_ignorability,M2_class1,-0.0023196682069866804,0.012332748735917073,0.01217365224086737,0.012439625318313713,0.96,100,0.01217365224086737,0.0,0.96,0.001217365224086737,100
MCAR,MAR_ignorability,M2_class2,-0.0003511577403864208,0.014191217926930193,0.01425834345468325,0.014203553340629036,0.94,100,0.01425834345468325,0.0,0.94,0.0014258343454683251,100
MCAR,MAR_ignorability,M3_class1,-0.00022054905294065924,0.012680793290490142,0.012742749041027719,0.012964081954288947,0.94,100,0.012742749041027719,0.0,0.94,0.001274274904102772,100
MCAR,MAR_ignorability,M3_class2,-0.0003078566448751352,0.012981111394535734,0.013042838405046395,0.013732229467215744,0.94,100,0.013042838405046395,0.0,0.94,0.0013042838405046395,100
MCAR,MAR_ignorability,P000,0.0012755815021475176,0.007413577714713705,0.007339806121588214,0.007042803880607669,0.97,100,0.007339806121588214,0.0,0.97,0.0007339806121588214,100
MCAR,MAR_ignorability,P001,0.00030790895086303086,0.004253068881253185,0.004263278364213432,0.004321346212945514,0.96,100,0.004263278364213432,0.0,0.96,0.00042632783642134316,100
MCAR,MAR_ignorability,P010,-0.0006834620604502218,0.004802731526902539,0.004777801122598106,0.004791115758625287,0.97,100,0.004777801122598106,0.0,0.97,0.00047778011225981063,100
MCAR,MAR_ignorability,P011,-0.0001620253652685366,0.003821880537813739,0.003837681147809383,0.0038213327556734923,0.94,100,0.003837681147809383,0.0,0.94,0.0003837681147809383,100
MCAR,MAR_ignorability,P100,-0.0005384155086033752,0.00350172569482893,0.0034775167591286635,0.003369889216225459,0.97,100,0.0034775167591286635,0.0,0.97,0.00034775167591286635,100
MCAR,MAR_ignorability,P101,5.525526700493777e-05,0.004700724922310974,0.004724079906215262,0.004476169516008096,0.91,100,0.004724079906215262,0.0,0.91,0.00047240799062152615,100
MCAR,MAR_ignorability,P110,-0.0002725235605485866,0.003350825267561208,0.0033565495875992487,0.003455831980274879,0.96,100,0.0033565495875992487,0.0,0.96,0.00033565495875992487,100
MCAR,MAR_ignorability,P111,1.7680774855173e-05,0.006615238807033919,0.006648541410957765,0.006549470659628631,0.93,100,0.006648541410957765,0.0,0.93,0.0006648541410957765,100
MCAR,MAR_ignorability,mean_Y1,-0.000738003027291887,0.007451683960463615,0.00745240422045051,0.007022144956340444,0.92,100,0.00745240422045051,0.0,0.92,0.000745240422045051,100
MCAR,MAR_ignorability,mean_Y2,-0.001100330211412196,0.008397580716906354,0.008367121521066489,0.008222247563719878,0.93,100,0.008367121521066489,0.0,0.93,0.0008367121521066489,100
MCAR,MAR_ignorability,mean_Y3,0.00021881962745455176,0.00832409743997968,0.008363141606853235,0.00812051034801662,0.95,100,0.008363141606853235,0.0,0.95,0.0008363141606853236,100
MCAR,MAR_ignorability,p_class2,0.0007044500459134118,0.012380489497276588,0.012422701211040062,0.013357310469591696,0.97,100,0.012422701211040062,0.0,0.97,0.0012422701211040061,100
MCAR,candidate_saturated,M1_class1,-0.000731814379858675,0.012463867154234844,0.012505046744925585,0.012488982044771729,0.93,100,0.012505046744925585,0.0,0.93,0.0012505046744925585,100
MCAR,candidate_saturated,M1_class2,-0.0008550372968151987,0.014797145450768559,0.014846841813347418,0.016098729622652345,0.97,100,0.014846841813347418,0.0,0.97,0.001484684181334742,100
MCAR,candidate_saturated,M2_class1,-0.004007564494050873,0.021440143968886945,0.021168377411959895,0.02231279493909728,0.95,100,0.021168377411959895,0.0,0.95,0.0021168377411959895,100
MCAR,candidate_saturated,M2_class2,-0.004260058791789218,0.025181706714800463,0.024943780264821993,0.02452141522480573,0.98,100,0.024943780264821993,0.0,0.98,0.0024943780264821995,100
MCAR,candidate_saturated,M3_class1,0.0001279149618199815,0.019337414270862514,0.019434407383529594,0.020314431242933893,0.96,100,0.019434407383529594,0.0,0.96,0.0019434407383529593,100
MCAR,candidate_saturated,M3_class2,-0.0037823211909442022,0.020805081895755705,0.020561449637847364,0.019579894083742687,0.96,100,0.020561449637847364,0.0,0.96,0.0020561449637847362,100
MCAR,candidate_saturated,P000,0.0017634348407619832,0.011649095423254254,0.011572857558230853,0.012491824231123085,0.95,100,0.011572857558230853,0.0,0.95,0.0011572857558230852,100
MCAR,candidate_saturated,P001,0.0008532423230406131,0.007621145808224398,0.007611384413846275,0.00785806544418313,0.92,100,0.007611384413846275,0.0,0.92,0.0007611384413846275,100
MCAR,candidate_saturated,P010,-0.001200600552751093,0.008471918265222506,0.008428664260576504,0.008883221061455915,0.97,100,0.008428664260576504,0.0,0.97,0.0008428664260576504,100
MCAR,candidate_saturated,P011,-0.0006780845396973031,0.005541815551345299,0.005527883493831052,0.006155029990772502,0.96,100,0.005527883493831052,0.0,0.96,0.0005527883493831053,100
MCAR,candidate_saturated,P100,0.0005628511218693714,0.005423632424007196,0.0054215234436319724,0.004949035351904511,0.89,100,0.0054215234436319724,0.0,0.89,0.0005421523443631972,100
MCAR,candidate_saturated,P101,0.0009385360216312194,0.008064428791868522,0.008049980354779883,0.007965361329127736,0.98,100,0.008049980354779883,0.0,0.98,0.0008049980354779883,100
MCAR,candidate_saturated,P110,0.00038525549902097974,0.006266588928548479,0.006286245607535796,0.005702422316999674,0.96,100,0.006286245607535796,0.0,0.96,0.0006286245607535796,100
MCAR,candidate_saturated,P111,-0.0026246347138758285,0.011345722740301295,0.011093574312582751,0.010511516175852238,0.95,100,0.011093574312582751,0.0,0.95,0.0011093574312582752,100
MCAR,candidate_saturated,mean_Y1,-0.0007379920713542937,0.007451687260147164,0.007452408649046398,0.007022144960317171,0.92,100,0.007452408649046398,0.0,0.92,0.0007452408649046398,100
MCAR,candidate_saturated,mean_Y2,-0.004118064307303266,0.01784155289146448,0.017447252567709733,0.01859996632711778,0.96,100,0.017447252567709733,0.0,0.96,0.0017447252567709733,100
MCAR,candidate_saturated,mean_Y3,-0.0015109409089013564,0.014595219555067622,0.014589933274694475,0.015279520853231287,0.95,100,0.014589933274694475,0.0,0.95,0.0014589933274694474,100
MCAR,candidate_saturated,p_class2,0.00010262409811686191,0.012903899227188329,0.012968496542998923,0.013912722653224767,0.95,100,0.012968496542998923,0.0,0.95,0.0012968496542998924,100
MCAR,oracle,M1_class1,-0.002058759056521938,0.009501996944411275,0.009323016867620125,0.009634152629060845,0.96,100,0.009323016867620125,0.0,0.96,0.0009323016867620125,100
MCAR,oracle,M1_class2,-0.0001433976505500334,0.011468368550734133,0.011525243016753998,0.012245443572522234,0.94,100,0.011525243016753998,0.0,0.94,0.0011525243016753998,100
MCAR,oracle,M2_class1,-0.0023641370244871264,0.010538686461606942,0.010321829787744922,0.01010699658871083,0.92,100,0.010321829787744922,0.0,0.92,0.0010321829787744922,100
MCAR,oracle,M2_class2,-0.0007689312680211912,0.011112839824543192,0.011142055813381006,0.011530734784150096,0.93,100,0.011142055813381006,0.0,0.93,0.0011142055813381005,100
MCAR,oracle,M3_class1,-0.0009081232280225862,0.010640629279270954,0.010655216565712139,0.01058421097997083,0.97,100,0.010655216565712139,0.0,0.97,0.001065521656571214,100
MCAR,oracle,M3_class2,-0.00014557499209662538,0.010592224410378505,0.010644580632885179,0.011171116808989738,0.96,100,0.010644580632885179,0.0,0.96,0.001064458063288518,100
